date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:40:12	24037/24037	---M--	200	added ('OK')	text/html	etag:%225de5-4538ce804d400%22	http://ele.aut.ac.ir/~wind/en/tour/index.htm	C:/My%20Web%20Sites/Tour%20on%20Wind%20Energy/ele.aut.ac.ir/_wind/en/tour/index.html	(from )
09:40:13	306/306	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Mar%202024%2002:41:16%20GMT	http://ele.aut.ac.ir/robots.txt		(from )
09:40:13	372/372	---M--	200	added ('OK')	image/gif	etag:%22174-4538ce804d400%22	http://ele.aut.ac.ir/~wind/en/res/bg.gif	C:/My%20Web%20Sites/Tour%20on%20Wind%20Energy/ele.aut.ac.ir/_wind/en/res/bg.gif	(from http://ele.aut.ac.ir/~wind/en/tour/index.htm)
09:40:14	1909/1909	---M--	200	added ('OK')	image/gif	etag:%22775-4538ce804d400%22	http://ele.aut.ac.ir/~wind/en/r/wt.gif	C:/My%20Web%20Sites/Tour%20on%20Wind%20Energy/ele.aut.ac.ir/_wind/en/r/wt.gif	(from http://ele.aut.ac.ir/~wind/en/tour/index.htm)
09:40:14	9294/9294	---M--	200	added ('OK')	text/html	etag:%22244e-4538ce804d400%22	http://ele.aut.ac.ir/~wind/en/tour/intro/index.htm	C:/My%20Web%20Sites/Tour%20on%20Wind%20Energy/ele.aut.ac.ir/_wind/en/tour/intro/index.html	(from http://ele.aut.ac.ir/~wind/en/tour/index.htm)
09:40:15	439/439	---M--	200	added ('OK')	image/gif	etag:%221b7-4538ce804d400%22	http://ele.aut.ac.ir/~wind/en/r/itour1.gif	C:/My%20Web%20Sites/Tour%20on%20Wind%20Energy/ele.aut.ac.ir/_wind/en/r/itour1.gif	(from http://ele.aut.ac.ir/~wind/en/tour/index.htm)
09:40:15	43/43	---M--	200	added ('OK')	image/gif	etag:%222b-4538ce804d400%22	http://ele.aut.ac.ir/~wind/en/r/t.gif	C:/My%20Web%20Sites/Tour%20on%20Wind%20Energy/ele.aut.ac.ir/_wind/en/r/t.gif	(from http://ele.aut.ac.ir/~wind/en/tour/index.htm)
09:40:15	268/268	---M--	200	added ('OK')	image/gif	etag:%2210c-4538ce804d400%22	http://ele.aut.ac.ir/~wind/en/r/ihome.gif	C:/My%20Web%20Sites/Tour%20on%20Wind%20Energy/ele.aut.ac.ir/_wind/en/r/ihome.gif	(from http://ele.aut.ac.ir/~wind/en/tour/index.htm)
09:40:16	395/395	---M--	200	added ('OK')	image/gif	etag:%2218b-4538ce804d400%22	http://ele.aut.ac.ir/~wind/en/r/itour.gif	C:/My%20Web%20Sites/Tour%20on%20Wind%20Energy/ele.aut.ac.ir/_wind/en/r/itour.gif	(from http://ele.aut.ac.ir/~wind/en/tour/index.htm)
09:40:16	290/290	---M--	200	added ('OK')	image/gif	etag:%22122-4538ce804d400%22	http://ele.aut.ac.ir/~wind/en/r/ifaq.gif	C:/My%20Web%20Sites/Tour%20on%20Wind%20Energy/ele.aut.ac.ir/_wind/en/r/ifaq.gif	(from http://ele.aut.ac.ir/~wind/en/tour/index.htm)
09:40:17	262/262	---M--	200	added ('OK')	image/gif	etag:%22106-4538ce804d400%22	http://ele.aut.ac.ir/~wind/en/r/iquiz.gif	C:/My%20Web%20Sites/Tour%20on%20Wind%20Energy/ele.aut.ac.ir/_wind/en/r/iquiz.gif	(from http://ele.aut.ac.ir/~wind/en/tour/index.htm)
09:40:17	432/432	---M--	200	added ('OK')	image/gif	etag:%221b0-4538ce804d400%22	http://ele.aut.ac.ir/~wind/en/r/imanuf.gif	C:/My%20Web%20Sites/Tour%20on%20Wind%20Energy/ele.aut.ac.ir/_wind/en/r/imanuf.gif	(from http://ele.aut.ac.ir/~wind/en/tour/index.htm)
09:40:18	854/854	---M--	200	added ('OK')	image/gif	etag:%22356-4538ce804d400%22	http://ele.aut.ac.ir/~wind/en/res/iarticl.gif	C:/My%20Web%20Sites/Tour%20on%20Wind%20Energy/ele.aut.ac.ir/_wind/en/res/iarticl.gif	(from http://ele.aut.ac.ir/~wind/en/tour/index.htm)
09:40:18	397/397	---M--	200	added ('OK')	image/gif	etag:%2218d-4538ce804d400%22	http://ele.aut.ac.ir/~wind/en/r/ipublic.gif	C:/My%20Web%20Sites/Tour%20on%20Wind%20Energy/ele.aut.ac.ir/_wind/en/r/ipublic.gif	(from http://ele.aut.ac.ir/~wind/en/tour/index.htm)
